datetime,type,plant_name,value
2024-01-01 00:00,wind,서남해해상풍력,96195.3855721393
2024-01-01 01:00,wind,서남해해상풍력,122012.13930348259
2024-01-01 02:00,wind,서남해해상풍력,69890.0
2024-01-01 03:00,wind,서남해해상풍력,164109.6641791045
2024-01-01 04:00,wind,서남해해상풍력,244017.21393034828
2024-01-01 05:00,wind,서남해해상풍력,210484.3656716418
2024-01-01 06:00,wind,서남해해상풍력,107466.04477611941
2024-01-01 07:00,wind,서남해해상풍력,135081.3930348259
2024-01-01 08:00,wind,서남해해상풍력,47658.880597014926
2024-01-01 09:00,wind,서남해해상풍력,218426.15671641793
2024-01-01 10:00,wind,서남해해상풍력,172772.47512437814
2024-01-01 11:00,wind,서남해해상풍력,185377.3507462687
2024-01-01 12:00,wind,서남해해상풍력,153956.21890547266
2024-01-01 13:00,wind,서남해해상풍력,51762.475124378114
2024-01-01 14:00,wind,서남해해상풍력,116050.7960199005
2024-01-01 15:00,wind,서남해해상풍력,79381.85323383086
2024-01-01 16:00,wind,서남해해상풍력,111214.62686567164
2024-01-01 17:00,wind,서남해해상풍력,171868.4825870647
2024-01-01 18:00,wind,서남해해상풍력,210337.76119402988
2024-01-01 19:00,wind,서남해해상풍력,223093.4577114428
2024-01-01 20:00,wind,서남해해상풍력,243127.8233830846
2024-01-01 21:00,wind,서남해해상풍력,225469.51492537314
2024-01-01 22:00,wind,서남해해상풍력,242587.15174129355
2024-01-01 23:00,wind,서남해해상풍력,272234.0422885573
2024-01-02 00:00,wind,서남해해상풍력,181505.63432835822
2024-01-02 01:00,wind,서남해해상풍력,265836.24378109456
2024-01-02 02:00,wind,서남해해상풍력,247451.38059701494
2024-01-02 03:00,wind,서남해해상풍력,125113.12189054728
2024-01-02 04:00,wind,서남해해상풍력,74224.95024875623
2024-01-02 05:00,wind,서남해해상풍력,191811.75373134328
2024-01-02 06:00,wind,서남해해상풍력,185486.05721393038
2024-01-02 07:00,wind,서남해해상풍력,134880.236318408
2024-01-02 08:00,wind,서남해해상풍력,127168.60696517414
2024-01-02 09:00,wind,서남해해상풍력,145359.60199004976
2024-01-02 10:00,wind,서남해해상풍력,70147.12686567164
2024-01-02 11:00,wind,서남해해상풍력,161925.4353233831
