datetime,type,plant_name,value
2024-01-01 00:00,wind,새만금해상풍력,3135.4325503355703
2024-01-01 01:00,wind,새만금해상풍력,5098.853020134228
2024-01-01 02:00,wind,새만금해상풍력,3007.259731543624
2024-01-01 03:00,wind,새만금해상풍력,10972.99832214765
2024-01-01 04:00,wind,새만금해상풍력,9016.696644295302
2024-01-01 05:00,wind,새만금해상풍력,2425.0862416107384
2024-01-01 06:00,wind,새만금해상풍력,7910.024161073826
2024-01-01 07:00,wind,새만금해상풍력,8055.847651006712
2024-01-01 08:00,wind,새만금해상풍력,5234.0419463087255
2024-01-01 09:00,wind,새만금해상풍력,7144.252013422819
2024-01-01 10:00,wind,새만금해상풍력,8339.360067114094
2024-01-01 11:00,wind,새만금해상풍력,7084.406711409396
2024-01-01 12:00,wind,새만금해상풍력,5360.940939597316
2024-01-01 13:00,wind,새만금해상풍력,6732.795637583892
2024-01-01 14:00,wind,새만금해상풍력,2656.1097315436245
2024-01-01 15:00,wind,새만금해상풍력,1561.8140939597315
2024-01-01 16:00,wind,새만금해상풍력,3410.1916107382553
2024-01-01 17:00,wind,새만금해상풍력,3700.3194630872486
2024-01-01 18:00,wind,새만금해상풍력,4545.730536912752
2024-01-01 19:00,wind,새만금해상풍력,5000.106040268456
2024-01-01 20:00,wind,새만금해상풍력,2527.2939597315435
2024-01-01 21:00,wind,새만금해상풍력,8877.540604026846
2024-01-01 22:00,wind,새만금해상풍력,9899.280872483221
2024-01-01 23:00,wind,새만금해상풍력,10323.717449664431
2024-01-02 00:00,wind,새만금해상풍력,2698.5426174496647
2024-01-02 01:00,wind,새만금해상풍력,3971.168120805369
2024-01-02 02:00,wind,새만금해상풍력,9325.03389261745
2024-01-02 03:00,wind,새만금해상풍력,9319.193288590604
2024-01-02 04:00,wind,새만금해상풍력,8830.276510067113
2024-01-02 05:00,wind,새만금해상풍력,2470.5543624161073
2024-01-02 06:00,wind,새만금해상풍력,6302.858724832215
2024-01-02 07:00,wind,새만금해상풍력,6315.809731543624
2024-01-02 08:00,wind,새만금해상풍력,4979.034228187919
2024-01-02 09:00,wind,새만금해상풍력,7618.541610738255
2024-01-02 10:00,wind,새만금해상풍력,7033.279865771812
2024-01-02 11:00,wind,새만금해상풍력,6079.871812080537
2024-01-02 12:00,wind,새만금해상풍력,4568.205369127517
2024-01-02 13:00,wind,새만금해상풍력,2344.3895973154363
2024-01-02 14:00,wind,새만금해상풍력,6703.345302013423
2024-01-02 15:00,wind,새만금해상풍력,7486.543288590604
2024-01-02 16:00,wind,새만금해상풍력,5305.887248322148
2024-01-02 17:00,wind,새만금해상풍력,2515.4761744966445
2024-01-02 18:00,wind,새만금해상풍력,9714.989261744966
2024-01-02 19:00,wind,새만금해상풍력,7803.747651006711
2024-01-02 20:00,wind,새만금해상풍력,7375.407046979866
2024-01-02 21:00,wind,새만금해상풍력,8997.747651006712
2024-01-02 22:00,wind,새만금해상풍력,10115.819463087248
2024-01-02 23:00,wind,새만금해상풍력,5157.561073825504
2024-01-03 00:00,wind,새만금해상풍력,9592.619463087249
2024-01-03 01:00,wind,새만금해상풍력,10852.258724832214
2024-01-03 02:00,wind,새만금해상풍력,3364.2687919463087
2024-01-03 03:00,wind,새만금해상풍력,7510.831208053691
2024-01-03 04:00,wind,새만금해상풍력,6012.377852348993
2024-01-03 05:00,wind,새만금해상풍력,3604.030536912752
2024-01-03 06:00,wind,새만금해상풍력,4307.151342281879
2024-01-03 07:00,wind,새만금해상풍력,8347.434899328859
2024-01-03 08:00,wind,새만금해상풍력,6101.888255033557
2024-01-03 09:00,wind,새만금해상풍력,4683.227516778523
2024-01-03 10:00,wind,새만금해상풍력,8309.513422818793
2024-01-03 11:00,wind,새만금해상풍력,7147.346644295302
2024-01-03 12:00,wind,새만금해상풍력,3356.852013422819
2024-01-03 13:00,wind,새만금해상풍력,2623.4338926174496
2024-01-03 14:00,wind,새만금해상풍력,4038.118120805369
2024-01-03 15:00,wind,새만금해상풍력,1880.1875838926173
2024-01-03 16:00,wind,새만금해상풍력,5785.723489932886
2024-01-03 17:00,wind,새만금해상풍력,2859.48322147651
2024-01-03 18:00,wind,새만금해상풍력,2649.5372483221477
2024-01-03 19:00,wind,새만금해상풍력,8537.136241610739
2024-01-03 20:00,wind,새만금해상풍력,2189.0986577181206
2024-01-03 21:00,wind,새만금해상풍력,10199.142953020135
2024-01-03 22:00,wind,새만금해상풍력,7326.277516778524
2024-01-03 23:00,wind,새만금해상풍력,9838.86677852349
2024-01-04 00:00,wind,새만금해상풍력,8225.16711409396
2024-01-04 01:00,wind,새만금해상풍력,8935.409395973154
2024-01-04 02:00,wind,새만금해상풍력,8005.418120805369
2024-01-04 03:00,wind,새만금해상풍력,10371.670134228189
2024-01-04 04:00,wind,새만금해상풍력,11132.454026845639
2024-01-04 05:00,wind,새만금해상풍력,6381.844295302013
2024-01-04 06:00,wind,새만금해상풍력,4112.303020134228
2024-01-04 07:00,wind,새만금해상풍력,2172.4476510067116
2024-01-04 08:00,wind,새만금해상풍력,8344.61510067114
2024-01-04 09:00,wind,새만금해상풍력,4568.223154362416
2024-01-04 10:00,wind,새만금해상풍력,6399.5768456375845
2024-01-04 11:00,wind,새만금해상풍력,1946.4697986577182
2024-01-04 12:00,wind,새만금해상풍력,5503.5979865771815
2024-01-04 13:00,wind,새만금해상풍력,2341.8053691275168
2024-01-04 14:00,wind,새만금해상풍력,5934.330536912751
2024-01-04 15:00,wind,새만금해상풍력,2046.5406040268458
2024-01-04 16:00,wind,새만금해상풍력,6516.396308724832
2024-01-04 17:00,wind,새만금해상풍력,3108.2587248322147
2024-01-04 18:00,wind,새만금해상풍력,3580.8838926174494
2024-01-04 19:00,wind,새만금해상풍력,9125.686577181208
2024-01-04 20:00,wind,새만금해상풍력,6648.759060402685
2024-01-04 21:00,wind,새만금해상풍력,6378.485234899328
2024-01-04 22:00,wind,새만금해상풍력,3717.391275167785
2024-01-04 23:00,wind,새만금해상풍력,8506.071476510067
2024-01-05 00:00,wind,새만금해상풍력,5107.059395973154
2024-01-05 01:00,wind,새만금해상풍력,11047.977516778523
2024-01-05 02:00,wind,새만금해상풍력,6889.698322147651
2024-01-05 03:00,wind,새만금해상풍력,5128.320805369127
